Rank,Player,Name,POS,Opp,Owner,Projected,Actual,%Owned,PtsAllow,Sack,Safe,Int,FumRec,TD,Blk,PTS
1,Seattle,SEA,DEF,@Car,FA,127,90,100%,231,36,0,18,13,5,2,270
2,SF,SFO,DEF,GB,FA,152,157,99%,259,38,1,14,11,3,2,234
3,Chicago,CHI,DEF,Cin,FA,154,58,99%,255,41,0,24,20,10,2,309
4,Houston,HOU,DEF,@SD,FA,158,160,99%,329,44,1,15,14,5,2,219
5,Denver,DEN,DEF,Bal,FA,162,96,98%,275,52,2,16,8,6,1,254
6,Arizona,ARI,DEF,@StL,FA,174,165,90%,307,38,0,22,11,4,3,232
7,Cincinnati,CIN,DEF,@Chi,FA,175,131,94%,296,51,0,14,16,3,1,234
8,NE,NWE,DEF,@Buf,FA,176,107,95%,329,37,1,20,21,5,0,235
9,Baltimore,BAL,DEF,@Den,FA,198,214,87%,324,37,0,13,12,2,0,182
10,GB,GNB,DEF,@SF,FA,199,233,84%,336,47,0,18,5,3,1,192
11,St.Louis,STL,DEF,Ari,FA,200,173,84%,330,52,1,17,4,5,2,224
12,Pittsburgh,PIT,DEF,Ten,FA,207,1470,79%,290,37,0,10,10,1,1,192
13,NYG,NYG,DEF,@Dal,FA,227,200,69%,332,33,0,21,14,2,0,197
14,SD,SDG,DEF,Hou,FA,242,132,58%,332,38,1,14,14,7,1,221
15,Tennessee,TEN,DEF,@Pit,FA,249,192,31%,441,39,1,19,5,5,2,165
16,Minnesota,MIN,DEF,@Det,FA,253,197,34%,342,44,0,10,12,3,4,188
17,Atlanta,ATL,DEF,@NO,FA,256,213,25%,291,29,0,20,11,2,0,208
18,NYJ,NYJ,DEF,TB,FA,258,247,8%,349,30,1,11,12,3,1,172
19,Miami,MIA,DEF,@Cle,FA,285,266,13%,305,42,0,10,6,1,3,181
20,Cleveland,CLE,DEF,Mia,FA,290,248,10%,356,38,0,17,12,2,0,182
21,Washington,WAS,DEF,Phi,FA,295,254,14%,388,32,0,21,10,4,1,179
22,NO,NOR,DEF,Atl,FA,1748,1450,7%,434,30,0,15,11,5,2,161
23,Carolina,CAR,DEF,Sea,FA,1766,278,4%,343,39,1,11,12,3,0,186
24,Buffalo,BUF,DEF,NE,FA,1776,1508,4%,423,36,1,12,9,1,5,139
25,TB,TAM,DEF,@NYJ,FA,1784,1477,47%,370,27,0,18,8,4,3,173
